Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,2012/10/09,01N,D1463,0.15,2022/06/30,2016/05/16,3221310.00,5676916.00,6192774.00,60860.00,2910604.00,30100,16.20,12.70,3.00,,,,,,,,,,,,,1.00,0.53,47
D1073_01N_IDC2321,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D1073,11.20,2022/06/30,2016/06/03,464093.00,788268.00,788268.00,0.00,324175.00,24450,,,,,6.2,5.2,0.60,,,,,,,,,,0.589,47
D1678_01N_IDC0745,D1678-01,Major Culvert,Culvert Major,2012/10/17,01N,D1678,0.60,2022/06/30,2016/05/20,920707.00,1607534.00,1725192.00,95000.00,709485.00,24450,,,,,8.4,8.4,1.00,,,,,,,,,,0.589,47
D1132_01N_B2808,unknown,Bridge,Bridge,2012/10/26,01N,D1132,2.00,2022/06/30,2016/06/09,2446547.00,4487135.00,5141080.00,62300.00,2632233.00,30100,14.00,12.20,4.00,,,,,,,,,,,,,1.00,0.488,53
D1027_01N_IDC1801,Tributory to Krokodilrivier,Major Culvert,Culvert Major,2012/10/24,01N,D1027,0.40,2022/06/30,2016/05/13,6062633.00,9571316.00,10302820.00,3150.00,4237033.00,34240,,,,,10.2,29.5,6.00,,,,,,,,,,0.589,47
D61_01N_IDB1654, D61 over rail at Jameson Park,Bridge,Bridge,2012/09/28,,D61,,2022/06/30,,,,,,,30100,21.40,7.40,5.50,,,,,,,,,,,,,1.00,0.53,47
D1017_01N_B2413,D1017-02,Bridge,Bridge,2012/10/10,01N,D1017,8.00,2022/06/30,2016/05/09,1920177.00,3213243.00,3729390.00,56400.00,1752813.00,30100,10.50,11.80,3.30,,,,,,,,,,,,,1.00,0.53,47
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,2012/10/08,01N,D1240,10.00,2022/06/30,2016/05/17,3034574.00,5606741.00,5761140.00,18830.00,2707736.00,30100,16.50,11.60,2.80,,,,,,,,,,,,,1.00,0.53,47
D1322_01N_C5085,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1322,7.40,2022/06/30,2016/06/03,1537873.00,2585675.00,2640600.00,16780.00,1085947.00,24450,,,,,10.8,10,0.60,,,,,,,,,,0.589,47
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,2012/10/10,01N,D1240,1.00,2022/06/30,2016/04/20,9616945.00,17838570.00,18204480.00,31430.00,8556105.00,30100,50.40,12.00,5.20,,,,,,,,,,,,,1.00,0.53,47
D1132_01N_IDC2305,unknown,Major Culvert,Culvert Major,2012/10/26,01N,D1132,1.70,2022/06/30,2016/06/21,224019.00,362290.00,391200.00,6300.00,160881.00,24450,,,,,4,4,1.00,,,,,,,,,,0.589,47
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,2012/10/04,01N,D1321,1.00,2022/06/30,2016/05/18,3694463.00,5858687.00,6167039.00,5760.00,2466815.00,30100,15.70,13.05,2.00,,,,,,,,,,,,,1.00,0.6,40
D1059_01N_IDC0884,Culvert (597),Major Culvert,Culvert Major,2012/10/18,01N,D1059,2.60,2022/06/30,2016/06/09,1588431.00,2554195.00,2749403.00,30280.00,1130692.00,24450,,,,,17.3,6.5,0.50,,,,,,,,,,0.589,47
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,2012/10/03,01N,D1676,3.60,2022/06/30,2016/03/31,3249733.00,5713080.00,6242439.00,58760.00,2933946.00,30100,22.30,9.30,3.50,,,,,,,,,,,,,1.00,0.53,47
D1321_01N_IDC2020,D1321 over stream,Major Culvert,Culvert Major,2012/10/04,01N,D1321,17.00,2022/06/30,2016/06/04,274654.00,417011.00,475063.50,5040.00,195370.00,24450,,,,,6.7,2.9,0.50,,,,,,,,,,0.589,47
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,2012/10/23,01N,D1316,17.80,2022/06/30,2016/06/01,6384886.00,9788608.00,10516340.00,30080.00,4101372.00,30100,27.00,12.94,6.50,,,,,,,,,,,,,1.00,0.61,39
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,2012/10/10,01N,D1240,3.00,2022/06/30,2016/04/20,13697306.00,23529989.00,26017240.00,91830.00,12228100.00,30100,68.60,12.60,4.20,,,,,,,,,,,,,1.00,0.53,47
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,2012/10/18,01N,D1059,0.10,2022/06/30,2016/06/09,301467.00,519804.00,568216.00,33070.00,233679.00,29350,,,,,4.4,4.4,5.00,,,,,,,,,,0.589,47
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,2012/10/09,01N,D1463,9.00,2022/06/30,2016/05/17,4480049.00,8318349.00,9246720.00,32350.00,4734321.00,30100,25.60,12.00,5.10,,,,,,,,,,,,,1.00,0.488,53
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,2012/10/25,01N,D1386,14.50,2022/06/30,2016/02/22,10515900.00,17637562.00,20058640.00,115180.00,9427560.00,30100,49.00,13.60,7.50,,,,,,,,,,,,,1.00,0.53,47
D1017_01N_B1443,D1017-03,Bridge,Bridge,2012/10/10,01N,D1017,3.60,2022/06/30,2016/05/10,3266178.00,6720342.00,7512960.00,129680.00,4117102.00,30100,20.80,12.00,2.30,,,,,,,,,,,,,1.00,0.452,62
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,2012/10/26,01N,D1386,1.80,2022/06/30,2016/02/26,11779200.00,20577842.00,22258350.00,17725.00,10461423.00,30100,53.20,13.90,7.80,,,,,,,,,,,,,1.00,0.53,47
D1188_01N_B4201,unknown,Bridge,Bridge,2012/10/23,01N,D1188,5.20,2022/06/30,2016/06/01,10780288.00,18374810.00,18624380.00,21850.00,7822238.00,30100,49.50,12.50,6.00,,,,,,,,,,,,,1.00,0.58,42
D1188_01N_B4754,Unknown,Bridge,Bridge Cellular,2012/10/23,01N,D1188,2.20,2022/06/30,2016/06/22,1063335.00,1837946.00,2053800.00,145840.00,844625.00,24450,,,,,12,7,1.00,,,,,,,,,,0.589,47
D1132_01N_C4274,unknown,Major Culvert,Culvert Major,2012/10/26,01N,D1132,8.40,2022/06/30,2016/06/22,2417624.00,4132050.00,4132050.00,15120.00,1699306.00,24450,,,,,13,13,0.80,,,,,,,,,,0.589,47
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,2012/11/09,01N,D1027,7.10,2022/06/30,2016/06/27,6097228.00,10039863.00,12048320.00,288380.00,5662709.00,45140,21.70,12.30,8.00,,,,,,,,,,,,,1.00,0.53,47
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,23.30,2022/06/30,2016/02/23,3433297.00,6156446.00,7314300.00,48310.00,3832693.00,30100,18.00,13.50,2.30,,,,,,,,,,,,,1.00,0.476,56
D1321_01N_B483,Road D1321 over river,Bridge,Bridge,2012/10/04,01N,D1321,2.00,2022/06/30,2016/05/17,2080370.00,3938896.00,4335604.00,217500.00,2037734.00,30100,27.70,5.20,6.30,,,,,,,,,,,,,1.00,0.53,47
D1017_01N_B2443,Bridge 2443,Bridge,Bridge Cellular,2012/10/20,01N,D1017,14.30,2022/06/30,2016/04/21,1694570.00,2834650.00,2889257.00,6480.00,1188207.00,24450,,,,,11.7,10.1,0.00,,,,,,,,,,0.589,47
D1027_01N_IDC2756,Culvert New Lanseria (Route D1027 at km 10.38),Major Culvert,Culvert Major,2012/10/29,01N,D1027,10.38,2022/06/30,2016/05/13,1037424.00,1869595.00,1869595.00,63300.00,768871.00,29350,,,,,9.1,7,3.00,,,,,,,,,,0.589,47
D1060_01N_IDC0756,"Culvert (343), Blesbokspruit",Major Culvert,Culvert Major,2012/10/17,01N,D1060,5.80,2022/06/30,2016/06/08,608186.00,1033012.00,1033013.00,0.00,424826.00,24450,,,,,6.5,6.5,0.50,,,,,,,,,,0.589,47
D1188_01N_IDC1562,unknown,Major Culvert,Culvert Major,2012/10/23,01N,D1188,4.05,2022/06/30,2016/06/22,149261.00,254918.00,266260.50,7500.00,109500.00,24450,,,,,3.3,3.3,0.50,,,,,,,,,,0.589,47
D1520_01N_IDC0750,D1520-02,Major Culvert,Culvert Major,2012/10/17,01N,D1520,9.30,2022/06/30,2016/05/20,1840822.00,2851408.00,3227400.00,59310.00,1327268.00,24450,,,,,6.6,20,1.00,,,,,,,,,,0.589,47
D1017_01N_IDC1460,Drainage,Major Culvert,Culvert Major,2012/10/20,01N,D1017,16.30,2022/06/30,2016/05/19,1082124.00,1789422.00,1914435.00,45000.00,787311.00,24450,,,,,9,8.7,0.00,,,,,,,,,,0.589,47
D1520_01N_IDC0773,D1520-04,Major Culvert,Culvert Major,2012/10/16,01N,D1520,2.52,2022/06/30,2016/05/18,260666.00,446466.00,473352.00,18020.00,194666.00,24450,,,,,4.4,4.4,1.00,,,,,,,,,,0.589,47
D1333_01N_B1444,1444 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D1333,4.75,2022/06/30,2016/02/15,3293592.00,6133845.00,6217155.00,1500.00,2922063.00,30100,24.30,8.50,4.63,,,,,,,,,,,,,1.00,0.53,47
D1313_01N_IDC2324,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1313,17.10,2022/06/30,2016/06/01,186622.00,316980.00,316980.00,0.00,130358.00,29350,,,,,3.6,3,3.00,,,,,,,,,,0.589,47
D1059_01N_IDC0902,"Culvert (600), Tributary to Wilgerivier",Major Culvert,Culvert Major,2012/10/18,01N,D1059,1.10,2022/06/30,2016/06/09,595123.00,928930.00,1065042.00,31920.00,437999.00,24450,,,,,6.6,6.6,0.50,,,,,,,,,,0.589,47
D1148_01N_IDC1734,PC2,Major Culvert,Culvert Major,2012/10/24,01N,D1148,6.90,2022/06/30,2016/04/24,52954.00,191840.00,220050.00,76600.00,90496.00,24450,,,,,3,3,0.80,,,,,,,,,,0.589,47
D1073_01N_C5117,drainage,Major Culvert,Culvert Major,2012/11/02,01N,D1073,8.60,2022/06/30,2016/06/03,2403094.00,4162368.00,4162368.00,47500.00,1711774.00,24450,,,,,13.3,12.8,0.60,,,,,,,,,,0.589,47
D1496_01N_IDC1812,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,1.20,2022/06/30,2016/05/13,3500590.00,5841885.00,5960499.00,8654.00,2451255.00,34240,,,,,6.8,25.6,8.00,,,,,,,,,,0.589,47
D1188_01N_C4635,Unknown,Major Culvert,Culvert Major,2012/10/23,01N,D1188,4.00,2022/06/30,2016/06/22,2984934.00,5069952.00,5069952.00,0.00,2085018.00,24450,,,,,14.4,14.4,0.50,,,,,,,,,,0.589,47
D1496_01N_IDC1800,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,3.50,2022/06/30,2016/05/13,1557411.00,2475221.00,2664393.00,11250.00,1095732.00,29350,,,,,3.4,26.7,4.50,,,,,,,,,,0.589,47
D1114_01N_IDC2900,D1114-01,Major Culvert,Culvert Major,2012/10/23,01N,D1114,3.79,2022/06/30,2016/05/18,973347.00,1653242.00,1653243.00,0.00,679896.00,39130,,,,,6.5,6.5,10.00,,,,,,,,,,0.589,47
D1386_01N_B2475,Boekenhoutskloof River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,25.60,2022/06/30,2016/02/23,2620060.00,5333914.00,5581744.00,36850.00,2924834.00,30100,15.20,12.20,2.70,,,,,,,,,,,,,1.00,0.476,56
D1496_01N_IDC1803,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,2.30,2022/06/30,2016/05/13,1730603.00,2874654.00,2976141.00,21600.00,1223938.00,34240,,,,,4.1,21.2,7.00,,,,,,,,,,0.589,47
D1148_01N_IDC1745,PC1,Major Culvert,Culvert Major,2012/10/24,01N,D1148,10.25,2022/06/30,2016/04/24,103494.00,128773.00,220050.00,26060.00,90496.00,24450,,,,,3,3,1.40,,,,,,,,,,0.589,47
D1215_01N_B3265,Koesterfontein Bridge 3265,Bridge,Bridge,2012/10/10,01N,D1215,8.20,2022/06/30,2016/04/01,3100040.00,5351178.00,6020000.00,90560.00,2829400.00,30100,16.00,12.50,6.00,,,,,,,,,,,,,1.00,0.53,47
D1496_01N_B3839,Driefontein Bridge 3839,Bridge,Bridge,2012/10/02,01N,D1496,1.00,2022/06/30,2016/04/07,5720294.00,10646160.00,10826970.00,18000.00,5088676.00,30100,32.70,11.00,4.70,,,,,,,,,,,,,1.00,0.53,47
D101_01N_B2705,D101 over Crocodile River,Bridge,Bridge,2012/10/02,01N,D101,1.70,2022/06/30,2016/04/04,20499148.00,36187386.00,42034370.00,181760.00,21353460.00,45140,77.60,12.00,10.00,,,,,,,,,,,,,1.00,0.492,52
D1240_01N_B4484,Rail over Road D1240 ,Bridge,Bridge,2012/10/10,01N,D1240,1.50,2022/06/30,2016/04/20,3051317.00,4407709.00,4867170.00,15000.00,1800853.00,30100,14.70,11.00,5.10,,,,,,,,,,,,,1.00,0.63,37
D1386_01N_B2397,Roodeplaat River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,14.40,2022/06/30,2016/02/22,3930210.00,6860207.00,8343720.00,108150.00,4305360.00,30100,18.00,15.40,4.20,,,,,,,,,,,,,1.00,0.484,54
D1113_01N_B4325,D1113-02,Bridge,Bridge,2012/10/09,01N,D1113,5.40,2022/06/30,2016/05/09,3477895.00,6251064.00,6573840.00,6240.00,3089705.00,30100,16.80,13.00,3.40,,,,,,,,,,,,,1.00,0.53,47
D1520_01N_B1719,D1520-03,Bridge,Bridge,2012/10/17,01N,D1520,15.83,2022/06/30,2016/04/21,3079727.00,4987414.00,5810805.00,0.00,2731078.00,30100,13.50,14.30,6.80,,,,,,,,,,,,,1.00,0.53,47
D1148_01N_IDC1605,pc6,Major Culvert,Culvert Major,2012/10/25,01N,D1148,21.40,2022/06/30,2016/04/24,1590103.00,2644902.00,2722213.00,12600.00,1119510.00,29350,,,,,5.3,17.5,4.00,,,,,,,,,,0.589,47
D1113_01N_B4324,D1113-01,Bridge,Bridge,2012/10/09,01N,D1113,2.70,2022/06/30,2016/05/09,6774235.00,12250098.00,12792500.00,5790.00,6012475.00,30100,34.00,12.50,3.00,,,,,,,,,,,,,1.00,0.53,47
D1386_01N_B2398,Pienaars River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,13.40,2022/06/30,2016/02/22,7189877.00,14270354.00,14936520.00,39400.00,7707246.00,30100,41.70,11.90,6.60,,,,,,,,,,,,,1.00,0.484,54
D1313_01N_IDC2320,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1313,13.00,2022/06/30,2016/06/01,616608.00,1005448.00,1062842.00,9140.00,437094.00,24450,,,,,6.9,6.3,2.00,,,,,,,,,,0.589,47
D2502_01N_IDC2350,drainage,Major Culvert,Culvert Major,2012/10/30,01N,D2502,2.40,2022/06/30,2016/06/01,594202.00,1035213.00,1035213.00,15280.00,425731.00,24450,,,,,7.3,5.8,1.00,,,,,,,,,,0.589,47
D1986_01N_IDB1427,Road D1986 over Suikerbosrand river,Bridge,Bridge,2012/10/01,01N,D1986,1.00,2022/06/30,2016/05/20,9187380.00,15761888.00,17650490.00,167380.00,8295730.00,30100,70.65,8.30,4.50,,,,,,,,,,,,,1.00,0.53,47
D1932_01N_IDC2764,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,01N,D1932,1.40,2022/06/30,2016/04/02,1908594.00,3188051.00,3410775.00,99500.00,1402681.00,24450,,,,,9,15.5,1.50,,,,,,,,,,0.589,47
D2616_01N_IDC1426,Drainage,Major Culvert,Culvert Major,2012/10/19,01N,D2616,0.03,2022/06/30,2016/06/01,337705.00,573597.00,573597.00,0.00,235892.00,24450,,,,,5.1,4.6,0.20,,,,,,,,,,0.589,47
P28_1_B2094z,Vlakplaas Bridge 2094,Bridge,Bridge,2012/10/10,1,P28,1.10,2022/06/30,2016/04/01,4310595.00,7292477.00,8277500.00,76480.00,3890425.00,30100,22.00,12.50,5.31,,,,,,,,,,,,,1.00,0.53,47
D1814_01N_B3042,D1814 over Rail,Bridge,Bridge,2012/10/26,01N,D1814,4.25,2022/06/30,2016/07/26,5629022.00,10078573.00,10649380.00,15150.00,5005208.00,30100,29.00,12.20,5.60,,,,,,,,,,,,,1.00,0.53,47
D2761_01N_B4442,unknown,Bridge,Bridge,2012/10/23,01N,D2761,5.50,2022/06/30,2016/06/01,15140589.00,22708929.00,25007080.00,113730.00,9752761.00,30100,62.00,13.40,6.40,,,,,,,,,,,,,1.00,0.61,39
D2014_01N_IDC2004,D2014 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D2014,1.00,2022/06/30,2016/06/06,67635.00,140832.00,140832.00,15280.00,57917.00,24450,,,,,2.4,2.4,0.50,,,,,,,,,,0.589,47
D30_01N_IDC2806,"Culvert (700), Sandrivier",Major Culvert,Culvert Major,2012/11/26,01N,D30,11.80,2022/06/30,2016/03/31,973354.00,1583153.00,1774835.00,71580.00,729901.00,24450,,,,,8.52,8.52,2.50,,,,,,,,,,0.589,47
D1693_01N_B4434,RAIL BRIDGE,Bridge,Bridge,2012/11/28,01N,D1693,0.80,2022/06/30,2016/06/30,5924075.00,9173815.00,9844205.00,80890.00,3839240.00,30100,31.00,10.55,5.90,,,,,,,,,,,,,1.00,0.61,39
D1794_01N_B3703,Hekpoort Bridge 3703,Bridge,Bridge,2012/10/04,01N,D1794,0.30,2022/06/30,2016/03/31,9280201.00,16694182.00,17351820.00,89780.00,7981835.00,45140,31.00,12.40,14.00,,,,,,,,,,,,,1.00,0.54,46
D1780_01N_B1425,Bridge over the Blesbok River,Bridge,Bridge,2012/10/09,01N,D1780,3.10,2022/06/30,2016/07/30,8843248.00,15570009.00,18085740.00,199620.00,9042868.00,30100,48.85,12.30,4.60,,,,,,,,,,,,,1.00,0.5,50
D1850_01N_IDC0474,Tributory to Wonderfonteinspruit river C1,Major Culvert,Culvert Major,2012/10/09,01N,D1850,3.30,2022/06/30,2016/05/18,2276872.00,3436254.00,3901731.00,20272.00,1604587.00,24450,,,,,10.1,15.8,1.00,,,,,,,,,,0.589,47
D1701_01N_IDC1784,Blaauwbank Spruit,Major Culvert,Culvert Major,2012/10/23,01N,D1701,0.10,2022/06/30,2016/05/13,1100329.00,1765417.00,1894631.00,15135.00,779167.00,24450,,,,,6.3,12.3,0.60,,,,,,,,,,0.589,47
D30_01N_IDC2807,701,Major Culvert,Culvert Major,2012/11/26,01N,D30,11.70,2022/06/30,2016/03/30,793578.00,1165394.00,1364310.00,9660.00,561072.00,24450,,,,,9,6.2,0.00,,,,,,,,,,0.589,47
D31_01N_B4218,NB023 over Brits to Pienaarspoort Rail,Bridge,Bridge,2012/10/23,01N,D31,3.61,2022/06/30,2016/03/14,7016290.00,12339531.00,13450550.00,112500.00,6321756.00,30100,33.70,13.26,5.81,,,,,,,,,,,,,1.00,0.53,47
D2757_01N_B2576,2576 over Apies River,Bridge,Bridge,2012/11/07,01N,D2757,0.67,2022/06/30,2016/02/16,18813152.00,34862822.00,39339680.00,227250.00,20299274.00,30100,97.10,13.46,3.96,,,,,,,,,,,,,1.00,0.484,54
D2544_01N_IDC0748,"Culvert (211), Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/17,01N,D2544,1.40,2022/06/30,2016/06/07,777316.00,1387039.00,1564800.00,143960.00,643524.00,24450,,,,,8,8,0.00,,,,,,,,,,0.589,47
