Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,10/9/2012,01N,D1463,0.15,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,30.00,750.00,No,22500.00,1,1,4,18.00,3
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,10/9/2012,01N,D1463,0.15,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,S1,6.00,3100.00,No,18600.00,1,1,1,5.00,3
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,10/9/2012,01N,D1463,0.15,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,8.00,750.00,L,6000.00,1,1,0,0.00,3
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,10/9/2012,01N,D1463,0.15,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,10/9/2012,01N,D1463,0.15,6/30/2022,03. Waterway, 207. Clear debris,S1,4.00,750.00,m3,3000.00,1,1,4,133.00,1
D1678_01N_IDC0745,D1678-01,Major Culvert,Culvert Major,10/17/2012,01N,D1678,0.60,6/30/2022,08. Guardrails, 455. New guardrail (single and double),BE,100.00,950.00,m,95000.00,4,4,0,0.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,09. Superstructure Drainage, 354. Repair scuppers,AS,4.00,3100.00,No,12400.00,1,1,1,8.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,2.00,750.00,m,1500.00,1,1,1,67.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,3.00,750.00,m,2250.00,1,1,1,44.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,11. Parapet, 458. New/repair steel railing,S1,8.00,3100.00,m,24800.00,4,4,9,36.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,10. Kerbs / Sidewalks," 614. Repair sidewalk surface (blocks, screed etc)",U1,1.00,750.00,m2,750.00,1,1,1,133.00,1
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U1,1.00,750.00,m,750.00,1,1,1,133.00,1
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,06. Abutments, 120. Seal cracks,BU,6.00,750.00,m,4500.00,1,1,4,89.00,3
D1132_01N_B2808,unknown,Bridge,Bridge,10/26/2012,01N,D1132,2.00,6/30/2022,11. Parapet, 454. New endblocks,S1,1.00,15350.00,No,15350.00,4,4,9,59.00,3
D1027_01N_IDC1801,Tributory to Krokodilrivier,Major Culvert,Culvert Major,10/24/2012,01N,D1027,0.40,6/30/2022,05. Waterway, 209. Clear siltation,AC,5.00,630.00,m3,3150.00,1,1,1,32.00,3
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,2.00,750.00,L,0.00,0,0,4,9999999.00,1
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,9.00,3100.00,No,27900.00,1,1,1,4.00,3
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S1,3.00,750.00,m,2250.00,1,1,4,178.00,1
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,6.00,750.00,m,4500.00,1,1,4,89.00,3
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,06. Abutments, 120. Seal cracks,BU,6.00,750.00,m,4500.00,1,1,4,89.00,3
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,11. Parapet, 459. Paint steel rails,AS,4.00,750.00,m2,3000.00,1,1,4,133.00,2
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U2,2.00,750.00,m,1500.00,1,1,4,267.00,1
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),U1,15.00,750.00,L,11250.00,1,1,4,36.00,3
D1017_01N_B2413,D1017-02,Bridge,Bridge,10/10/2012,01N,D1017,8.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,2.00,750.00,L,1500.00,1,1,4,267.00,1
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,10/8/2012,01N,D1240,10.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,5.00,750.00,L,3750.00,1,1,4,107.00,2
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,10/8/2012,01N,D1240,10.00,6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,4.00,1080.00,No,4320.00,3,4,4,93.00,3
