Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
D101_01N_B2705,D101 over Crocodile River,Bridge,Bridge,2012/10/02,01N,D101,1.70,77.60,12.00,3,Arch,1970/01/02
D1017_01N_B1443,D1017-03,Bridge,Bridge,2012/10/10,01N,D1017,3.60,20.80,12.00,5,Simply supported,1960/01/02
D1017_01N_B2413,D1017-02,Bridge,Bridge,2012/10/10,01N,D1017,8.00,10.50,11.80,3,Continous and simply supported,
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,2012/11/09,01N,D1027,7.10,21.70,12.30,1,Simply supported,
D1113_01N_B4324,D1113-01,Bridge,Bridge,2012/10/09,01N,D1113,2.70,34.00,12.50,4,Simply supported,
D1113_01N_B4325,D1113-02,Bridge,Bridge,2012/10/09,01N,D1113,5.40,16.80,13.00,2,Simply supported,
D1132_01N_B2808,unknown,Bridge,Bridge,2012/10/26,01N,D1132,2.00,14.00,12.20,2,Simply supported,1969/01/02
D1188_01N_B4201,unknown,Bridge,Bridge,2012/10/23,01N,D1188,5.20,49.50,12.50,4,Continuous,1980/01/02
D1215_01N_B3265,Koesterfontein Bridge 3265,Bridge,Bridge,2012/10/10,01N,D1215,8.20,16.00,12.50,1,Simply supported,
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,2012/10/10,01N,D1240,3.00,68.60,12.60,7,Simply supported,
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,2012/10/10,01N,D1240,1.00,50.40,12.00,5,Simply supported,
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,2012/10/08,01N,D1240,10.00,16.50,11.60,2,Continuous,
D1240_01N_B4484,Rail over Road D1240 ,Bridge,Bridge,2012/10/10,01N,D1240,1.50,14.70,11.00,1,Continuous,1985/01/02
D1316_01N_B1564,D1316 over Osspruit,Bridge,Bridge,2012/10/09,,D1316,,32.00,12.40,3,Continuous,
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,2012/10/23,01N,D1316,17.80,27.00,12.94,3,Continuous,1983/01/02
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,2012/10/04,01N,D1321,1.00,15.70,13.05,1,Continuous,1982/01/02
D1321_01N_B483,Road D1321 over river,Bridge,Bridge,2012/10/04,01N,D1321,2.00,27.70,5.20,4,Simply supported,
D1322_01N_B3161,D1322 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,,D1322,,27.70,17.20,1,Simply supported,
D1333_01N_B1444,1444 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D1333,4.75,24.30,8.50,3,Simply supported,
D1386_01N_B2397,Roodeplaat River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,14.40,18.00,15.40,1,Simply supported,1968/01/02
