Structure Number,Structure Name,Structure Type,Inspection Date,Inspection Item,Position,D,E,R
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,01. Apron Slabs & Cut Off Walls,A1,2,2,3
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,01. Apron Slabs & Cut Off Walls,A2,2,2,3
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,01. Apron Slabs & Cut Off Walls,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,01. Apron Slabs & Cut Off Walls,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,02. Wing / Ret / Head Walls,A1,3,2,3
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,02. Wing / Ret / Head Walls,A2,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,02. Wing / Ret / Head Walls,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,02. Wing / Ret / Head Walls,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,03. Scour Protection Works,A1,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,03. Scour Protection Works,A2,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,03. Scour Protection Works,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,03. Scour Protection Works,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,04. Embankment/s,A1,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,04. Embankment/s,A2,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,04. Embankment/s,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,04. Embankment/s,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,05. Waterway,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,05. Waterway,G0,3,2,3
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,06. Road Slabs,G0,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,06. Road Slabs,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,07. Roadway Joints,G0,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,07. Roadway Joints,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,08. Guardrails,G0,4,4,4
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,08. Guardrails,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,09. Parapets / Handrails,G0,3,3,4
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,09. Parapets / Handrails,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C1,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C2,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C3,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,10. Walls,C3,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C1,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C2,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C3,2,2,2
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,11. Top Slab,C3,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C1,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C2,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C3,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,12. Invert Slab,C3,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C1,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C2,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C3,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,13. Cell Deformation,C3,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,14. Miscellaneous Items,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,20/10/2012,14. Miscellaneous Items,G0,0,0,0
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,01. Apron Slabs & Cut Off Walls,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,01. Apron Slabs & Cut Off Walls,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,02. Wing / Ret / Head Walls,E1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,02. Wing / Ret / Head Walls,E2,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,03. Scour Protection Works,E1,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,03. Scour Protection Works,E2,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,04. Embankment/s,E1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,04. Embankment/s,E2,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,05. Waterway,G0,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,06. Road Slabs,G0,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,07. Roadway Joints,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,08. Guardrails,G0,X,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,09. Parapets / Handrails,G0,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,10. Walls,C1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,10. Walls,C2,1,1,1
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,10. Walls,C3,1,1,1
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,11. Top Slab,C1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,11. Top Slab,C2,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,11. Top Slab,C3,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,12. Invert Slab,C1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,12. Invert Slab,C2,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,12. Invert Slab,C3,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,13. Cell Deformation,C1,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,13. Cell Deformation,C2,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,13. Cell Deformation,C3,0,,
D1017_01N_B2443,Bridge 2443,Bridge Cellular,21/04/2016,14. Miscellaneous Items,G0,0,,
D1027_01N_B3073,Nooitgedacht Bridge B1,Bridge Cellular,04/04/2016,01. Apron Slabs & Cut Off Walls,E1,X,,
