Struman List Rating Data,,,,,,,,
Structure Type : Bridge,,,,,,,,
,,,,,,,,
Structure Number,Structure Name,Structure Type,Inspection Date,Inspection Item,Position,D,E,R
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,01. Approach Embankment,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,01. Approach Embankment,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,02. Guardrail,G0,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,03. Waterway,G0,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,04. Approach Embankment Protection Works,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,04. Approach Embankment Protection Works,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,05. Abutment Foundations,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,05. Abutment Foundations,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,06. Abutments,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,06. Abutments,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,07. Wing/ Retaining Walls,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,07. Wing/ Retaining Walls,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,08. Surfacing,G0,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,09. Superstructure Drainage,G0,1,2,1
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,10. Kerbs / Sidewalks,G0,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,11. Parapet,G0,1,1,1
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,P1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,P2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,P3,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,P4,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,SP1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,12. Pier Protection Works,SP2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,P1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,P2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,P3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,P4,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,SP1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,13. Pier Foundations,SP2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,P1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,P2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,P3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,P4,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,SP1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,14. Piers & Columns,SP2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,P1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,P2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,P3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,P4,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,SP1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,SP2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,15. Bearings,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,P1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,P2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,P3,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,P4,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,SP1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,SP2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,A1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,16. Support Drainage,A2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,P1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,P2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,P3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,P4,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,SP1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,SP2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,A1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,17. Expansion Joints,A2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,18. Longitudinal Members,AC1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,18. Longitudinal Members,S1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,18. Longitudinal Members,S2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,18. Longitudinal Members,S3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,19. Transverse Members,AC1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,19. Transverse Members,S1,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,19. Transverse Members,S2,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,19. Transverse Members,S3,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,20. Decks and Slabs,AC1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,20. Decks and Slabs,S1,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,20. Decks and Slabs,S2,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,20. Decks and Slabs,S3,0,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,02/10/2012,21. Miscellaneous Items,G0,X,0,0
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,01. Approach Embankment,A1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,01. Approach Embankment,A2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,02. Guardrail,G0,2,1,2
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,03. Waterway,G0,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,04. Approach Embankment Protection Works,A1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,04. Approach Embankment Protection Works,A2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,05. Abutment Foundations,A1,3,4,3
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,05. Abutment Foundations,A2,3,4,3
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,06. Abutments,A1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,06. Abutments,A2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,07. Wing/ Retaining Walls,A1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,07. Wing/ Retaining Walls,A2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,08. Surfacing,G0,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,09. Superstructure Drainage,G0,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,10. Kerbs / Sidewalks,G0,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,11. Parapet,G0,1,2,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P2,X,,
